site,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Pic de L'Orr...,8.16 km,Dec,5,0,0,2,3,Aug:0 Jun:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.20883%2042.40775&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.20883,42.40775
Estanils Miglos,7.72 km,Mar Dec Nov Jan,4,0,0,0,0,Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.62102%2042.78347&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.62102,42.78347
Takeoff,3.0 km,Apr,4,0,0,0,1,Apr:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.970633%2042.7141&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.970633,42.7141
Isaba,150.2 km,Jun Jul,4,0,1,3,3,Jul:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.90882%2042.83915&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.90882,42.83915
Raca,3.1 km,Jan Dec,4,0,0,0,1,Dec:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.50565%2042.79602&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.50565,42.79602
bertren,3.14 km,Feb Dec Jan,4,0,0,0,0,Dec:0 Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.60872%2043.0082&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.60872,43.0082
Serra del Cadí,6.2 km,Jan,4,0,0,0,1,Jan:0 Sep:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.59772%2042.2856&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.59772,42.2856
fontalba,25.94 km,Nov,4,0,0,0,2,Nov:0 Jul:0 Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.15225%2042.3671&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.15225,42.3671
Candanchu,44.28 km,Jul,4,0,0,0,1,Dec:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.5082%2042.788883&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.5082,42.788883
Fontalba,22.25 km,Jan,4,0,0,0,2,Nov:0 Jul:0 Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.15315%2042.36707&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.15315,42.36707
Collarada,17.25 km,Jun,4,0,0,0,0,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.48697%2042.7056&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.48697,42.7056
Oturia,4.9 km,Aug May,4,0,1,1,1,Sep:0 Aug:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.26923%2042.5342&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.26923,42.5342
corona,14.17 km,Jul,4,0,0,1,2,Jul:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.095817%2042.53195&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.095817,42.53195
Es Antenes,8.18 km,Jul,4,0,0,0,0,Sep:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.653%2042.75205&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.653,42.75205
tuixent lavansa,27.21 km,Feb,4,0,0,0,1,Feb:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.52213%2042.21318&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.52213,42.21318
castelar nug,25.8 km,Jul,4,0,0,0,2,Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.01432%2042.29888&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.01432,42.29888
Fontlletera,34.05 km,Sep Oct,4,0,0,0,1,Oct:0 Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.2357%2042.37655&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.2357,42.37655
Tregurà,4.41 km,Jul,4,0,0,0,0,Jun:0 Apr:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.27355%2042.35103&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.27355,42.35103
Loarre,96.52 km,Jun Apr,3,0,0,1,2,Jun:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.61618%2042.3417&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.61618,42.3417
Peña Monta�...,52.54 km,Oct Sep Mar,3,0,0,1,3,Sep:0 Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.291467%2042.465667&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.291467,42.465667
Castell de Mur,67.65 km,May Apr,3,0,0,1,1,May:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.86862%2042.10375&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.86862,42.10375
Orhi,6.44 km,Jun,3,0,0,0,0,Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.98372%2042.97207&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.98372,42.97207
legarda,7.06 km,Jun May,3,0,0,0,0,Jan:0 Jun:0 May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.77275%2042.704917&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.77275,42.704917
Biescas,79.91 km,Jun,3,0,0,1,1,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.35515%2042.65077&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.35515,42.65077
Era trona,7.9 km,Jan,3,0,0,0,0,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.65857%2042.75223&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.65857,42.75223
Roc de Rumbau,15.09 km,Nov Apr Jun,3,0,0,0,0,Jun:0 Nov:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.28318%2042.07642&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.28318,42.07642
Beriain,0.04 km,Aug,3,0,0,0,0,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.811567%2042.884083&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.811567,42.884083
Peña Ezkaurre,148.24 km,May,3,0,2,3,3,May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.84002%2042.85107&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.84002,42.85107
Pena Ezkaurre,100.12 km,May,3,0,2,3,3,May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.84012%2042.85095&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.84012,42.85095
Punta güe,4.73 km,Oct,3,0,0,0,0,Oct:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.35172%2042.57418&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.35172,42.57418
Pico cerruza,9.73 km,Jun,3,0,0,1,1,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.35417%2042.65227&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.35417,42.65227
Cerruza,7.13 km,Jul,3,0,0,1,1,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.35403%2042.6522&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.35403,42.6522
Vielha e Mij...,38.97 km,May,3,0,0,0,1,Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.81487%2042.70798&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.81487,42.70798
punta sarrera,62.72 km,Apr,3,0,0,2,2,Apr:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.2109%2042.391433&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.2109,42.391433
Pic de l´Orri,59.71 km,Aug,3,0,0,2,2,Apr:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.21647%2042.39512&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.21647,42.39512
serrat de la...,5.59 km,Jun,3,0,0,0,0,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.669%2042.25695&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.669,42.25695
Montsegur,19.15 km,Apr,3,0,0,0,1,Apr:0 Sep:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.8091%2042.86057&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.8091,42.86057
Montsegur,4.58 km,Aug,3,0,0,0,1,Apr:0 Sep:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.80888%2042.86053&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.80888,42.86053
Belesta,11.19 km,Jul Aug,3,0,0,0,0,Sep:0 Jul:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.96378%2042.89997&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.96378,42.89997
Pic de la So...,31.06 km,Sep,3,0,0,0,2,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.53682%2042.46015&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.53682,42.46015
Bonaigua,32.18 km,Sep,2,0,0,0,2,Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.02097%2042.6549&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.02097,42.6549
Canigo,29.17 km,Jul Jun,2,0,0,0,1,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.440867%2042.53485&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.440867,42.53485
Bagneres de ...,62.81 km,Feb,2,0,0,1,2,Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.59978%2042.7959&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.59978,42.7959
Anayet,123.97 km,Jul,2,0,1,1,1,Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.46445%2042.770483&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.46445,42.770483
Ciriza,24.44 km,Sep,2,0,0,0,1,Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.80608%2042.78442&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.80608,42.78442
Beragu,17.04 km,May Apr,2,0,0,0,0,May:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.43347%2042.5268&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.43347,42.5268
toilet,9.74 km,Jul,2,0,0,0,0,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.842667%2042.9062&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.842667,42.9062
rapitan Jaca,95.42 km,Aug Jun,2,0,0,2,2,Jun:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.53655%2042.58788&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.53655,42.58788
Castejon De sos,66.39 km,Aug,2,0,0,2,2,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.5%2042.4&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.5,42.4
Pico destós,5.65 km,Aug,2,0,0,0,0,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.554583%2042.652817&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.554583,42.652817
pic d'antenac,5.43 km,May,2,0,0,0,0,May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.5674%2042.85257&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.5674,42.85257
Pic Antenac,4.93 km,May,2,0,0,0,0,May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.56798%2042.85247&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.56798,42.85247
Sapeira,1.91 km,Oct,2,0,0,0,0,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.785317%2042.254217&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.785317,42.254217
El gravet,148.39 km,Jun,2,0,2,2,2,Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.8213%2042.21603&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.8213,42.21603
Prat de codines,8.11 km,Dec,2,0,0,0,0,Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.75032%2042.41883&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.75032,42.41883
Prat Sibrà,7.19 km,Dec,2,0,0,0,0,Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.75032%2042.41883&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.75032,42.41883
Rasos de Tubau,2.02 km,Dec,2,0,0,0,0,Dec:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.04485%2042.21465&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.04485,42.21465
Camélas,4.66 km,Nov,2,0,0,0,0,Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.68252%2042.625&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.68252,42.625
Enlairament,3.74 km,Mar,1,0,0,0,0,Mar:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.261083%2042.4373&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.261083,42.4373
Take OFF,29.8 km,Sep,1,0,0,0,1,Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.7298%2042.16735&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.7298,42.16735
El Grado,11.93 km,Jun,1,0,0,0,0,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.17215%2042.1158&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.17215,42.1158
zo zrázu,4.15 km,Jul,1,0,0,0,0,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.78868%2042.85407&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.78868,42.85407
xpyr day7,21.53 km,Jun,1,0,0,0,1,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.40083%2042.44157&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.40083,42.44157
day4,29.22 km,Jul,1,0,0,0,1,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.11665%2042.49688&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.11665,42.49688
Canigó,17.36 km,Nov,1,0,0,0,0,Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.46035%2042.51613&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.46035,42.51613
San Miguel d...,5.93 km,Jan,1,0,0,0,0,Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.677183%2042.79525&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.677183,42.79525
Durro,26.34 km,Aug,1,0,0,0,1,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.82122%2042.50368&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.82122,42.50368
Peña monta�...,4.88 km,Nov,1,0,0,0,0,Nov:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.20647%2042.4664&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.20647,42.4664
SIERRA d'ABO...,8.55 km,Jun,1,0,0,0,0,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.130933%2042.959783&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.130933,42.959783
Lakartxela,4.53 km,Jul,1,0,0,0,0,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.8878%2042.95082&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.8878,42.95082
Pico de las ...,8.76 km,Jul,1,0,0,0,0,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.42035%2042.75092&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.42035,42.75092
Hillside,69.74 km,Sep,1,0,0,1,1,Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.35412%2042.80827&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.35412,42.80827
pelopin,29.25 km,May,1,0,0,0,1,May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.18107%2042.60333&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.18107,42.60333
Cotiella,24.66 km,Jul,1,0,0,0,1,Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.25205%2042.5099&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.25205,42.5099
Zaragualas,19.61 km,Aug,1,0,0,0,0,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.31865%2042.452133&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.31865,42.452133
Benasque,2.89 km,Aug,1,0,0,0,0,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.543717%2042.5972&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.543717,42.5972
Lo Tesso,16.74 km,Oct,1,0,0,0,0,Oct:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.03415%2042.59697&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.03415,42.59697
Pernui,2.01 km,Aug,1,0,0,0,0,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.14098%2042.41303&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.14098,42.41303
Les Ginestes...,45.23 km,Mar,1,0,0,0,1,Mar:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.57545%2042.14488&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.57545,42.14488
porte puymorens,79.73 km,Aug,1,0,0,1,1,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.80738%2042.54277&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.80738,42.54277
Castell Lluçà,1.42 km,Jun,1,0,0,0,0,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.03892%2042.05418&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.03892,42.05418
Puig d'Òrria,6.86 km,Jun,1,0,0,0,0,Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.10362%2042.35155&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.10362,42.35155